,0
1523,520-4216
1524,516-1100
1525,500-3115
1526,702-0212
1527,700-8100
1528,441-4020
1529,702-0825
1530,507-5129
1531,682-1509
1532,660-2042
1533,441-5003
1534,636-1080
1535,603-6006
1536,680-4230
1537,653-6215
1538,670-4000
1539,702-0051
1540,576-1010
1541,507-0027
1542,441-4040
1543,550-2180
1544,657-9215
1545,682-7042
1546,432-0350
1547,654-1007
1548,660-2045
1549,937-8530
1550,424-5007
1551,561-1024
1552,670-9290
1553,643-8103
1554,603-2036
1555,682-9950
1556,653-0260
1557,653-0400
1558,935-4103
1559,631-0101
1560,660-2043
1561,670-5000
1562,657-4996
1563,550-5303
1564,611-5480
1565,937-8020
1566,433-1200
1567,636-2080
1568,550-6056
1569,520-5000
1570,522-1000
1571,441-0303
1572,611-8020
1573,165-0085
1574,657-4999
1575,441-0104
1576,572-1000
1577,163-0528
1578,441-5007
1579,520-3418
1580,668-7000
1581,507-9033
1582,713-3011
1583,550-2420
1584,935-1118
1585,457-1005
1586,534-1000
1587,643-8300
1588,682-6236
1589,636-1045
1590,670-1140
1591,670-3170
1592,659-5011
1593,520-1316
1594,939-4201
1595,531-1000
1596,668-1200
1597,520-4151
1598,610-7015
1599,610-2380
1600,550-5602
1601,576-1018
1602,402-1818
1603,400-3205
1604,652-5301
1605,514-1000
1606,550-6828
1607,935-1511
1608,936-8000
1609,627-1160
1610,702-0682
1611,653-6110
1612,660-3550
1613,653-0210
1614,165-0105
1615,643-1137
1616,670-2160
1617,660-1530
1618,659-7005
1619,610-0200
1620,643-1171
1621,664-0450
1622,657-9214
1623,573-2004
1624,657-5555
1625,702-0980
1626,169-0020
1627,610-6510
1628,680-4110
1629,950-3570
1630,611-5589
1631,507-9035
1632,653-1906
1633,610-2395
1634,702-0977
1635,449-3800
1636,939-2300
1637,550-5150
1638,663-0255
1639,310-5040
1640,163-0543
1641,653-8075
1642,657-5060
1643,702-0120
1644,550-6180
1645,615-2555
1646,655-7000
1647,158-1000
1648,208-0100
1649,610-6610
1650,528-0500
1651,520-1125
1652,657-1243
1653,664-0600
1654,935-4402
1655,702-0041
1656,621-6013
1657,550-6806
1658,550-6032
1659,639-1235
1660,664-0155
1661,643-0010
1662,206-0002
1663,670-2200
1664,657-5001
1665,205-0210
1666,205-0001
1667,420-0030
1668,682-6125
1669,603-2024
1670,694-0010
1671,402-3818
1672,150-9011
1673,110-1000
1674,657-9615
1675,653-0095
1676,430-0200
1677,520-0242
1678,636-1041
1679,702-0675
1680,550-3630
1681,670-1200
1682,603-7000
1683,307-0001
1684,232-4000
1685,670-7315
1686,939-4100
1687,520-2216
1688,653-0132
1689,550-3624
1690,550-5300
1691,680-5260
1692,668-3313
1693,935-3201
1694,670-0535
1695,653-2502
1696,935-3105
1697,439-0016
1698,935-4105
1699,653-0330
1700,500-2100
1701,550-3536
1702,664-0455
1703,665-0060
1704,670-9895
1705,935-3603
1706,652-0095
1707,161-1000
1708,500-3650
1709,680-5275
1710,682-9020
1711,507-1024
1712,653-2810
1713,670-0515
1714,951-5125
1715,668-4411
1716,702-1015
1717,627-1180
1718,682-2130
1719,621-4070
1720,643-1151
1721,641-2200
1722,402-3111
1723,999-0033
1724,670-3015
1725,656-5550
1726,680-6130
1727,999-0025
1728,653-1706
1729,683-1101
1730,937-6000
1731,657-8150
1732,653-0420
1733,150-0008
1734,668-3314
1735,900-0039
1736,402-3814
1737,639-4002
1738,670-4450
1739,937-8500
1740,550-5182
1741,656-5510
1742,653-8085
1743,550-5600
1744,441-5052
1745,670-2800
1746,670-5700
1747,608-1010
1748,670-3166
1749,935-3103
1750,441-7012
1751,439-0056
1752,711-0400
1753,550-5302
1754,611-8055
